block,period,childInpatientRatioList
MOUDA BLOCK,2015-04-01,0.153
UMRED BLOCK,2015-04-01,0.186
KUHI BLOCK,2015-04-01,0.195
KALMESHWAR BLOCK,2015-04-01,0.124
RAMTEK BLOCK,2015-04-01,0.202
KAMPTEE BLOCK,2015-04-01,0.194
HINGNA BLOCK,2015-04-01,0.107
KATOL BLOCK,2015-04-01,0.138
NAGPUR BLOCK,2015-04-01,0.302
SAONER BLOCK,2015-04-01,0.137
PARSHIVNI BLOCK,2015-04-01,0.106
NARKHED BLOCK,2015-04-01,0.066
BHIWAPUR BLOCK,2015-04-01,0.195
NAGPUR BLOCK,2015-05-01,0.298
KATOL BLOCK,2015-05-01,0.31
KAMPTEE BLOCK,2015-05-01,0.161
NARKHED BLOCK,2015-05-01,0.039
KUHI BLOCK,2015-05-01,0.239
KALMESHWAR BLOCK,2015-05-01,0.343
RAMTEK BLOCK,2015-05-01,0.156
BHIWAPUR BLOCK,2015-05-01,0.107
UMRED BLOCK,2015-05-01,0.116
PARSHIVNI BLOCK,2015-05-01,0.085
MOUDA BLOCK,2015-05-01,0.133
SAONER BLOCK,2015-05-01,0.096
HINGNA BLOCK,2015-05-01,0.151
KAMPTEE BLOCK,2015-06-01,0.173
MOUDA BLOCK,2015-06-01,0.091
RAMTEK BLOCK,2015-06-01,0.16
NAGPUR BLOCK,2015-06-01,0.301
PARSHIVNI BLOCK,2015-06-01,0.16
NARKHED BLOCK,2015-06-01,0.084
KUHI BLOCK,2015-06-01,0.206
SAONER BLOCK,2015-06-01,0.026
KATOL BLOCK,2015-06-01,0.137
HINGNA BLOCK,2015-06-01,0.123
KALMESHWAR BLOCK,2015-06-01,0.127
UMRED BLOCK,2015-06-01,0.324
BHIWAPUR BLOCK,2015-06-01,0.079
HINGNA BLOCK,2015-07-01,0.139
RAMTEK BLOCK,2015-07-01,0.132
NAGPUR BLOCK,2015-07-01,0.299
KATOL BLOCK,2015-07-01,0.14
KUHI BLOCK,2015-07-01,0.174
NARKHED BLOCK,2015-07-01,0.123
BHIWAPUR BLOCK,2015-07-01,0.092
UMRED BLOCK,2015-07-01,0.162
PARSHIVNI BLOCK,2015-07-01,0.155
KAMPTEE BLOCK,2015-07-01,0.175
KALMESHWAR BLOCK,2015-07-01,0.147
MOUDA BLOCK,2015-07-01,0.088
SAONER BLOCK,2015-07-01,0.106
RAMTEK BLOCK,2015-08-01,0.193
UMRED BLOCK,2015-08-01,0.125
PARSHIVNI BLOCK,2015-08-01,0.15
HINGNA BLOCK,2015-08-01,0.115
BHIWAPUR BLOCK,2015-08-01,0.152
KUHI BLOCK,2015-08-01,0.252
MOUDA BLOCK,2015-08-01,0.123
NAGPUR BLOCK,2015-08-01,0.299
SAONER BLOCK,2015-08-01,0.214
KATOL BLOCK,2015-08-01,0.14
KALMESHWAR BLOCK,2015-08-01,0.163
KAMPTEE BLOCK,2015-08-01,0.176
NARKHED BLOCK,2015-08-01,0.125
RAMTEK BLOCK,2015-09-01,0.21
NAGPUR BLOCK,2015-09-01,0.308
PARSHIVNI BLOCK,2015-09-01,0.161
MOUDA BLOCK,2015-09-01,0.103
KALMESHWAR BLOCK,2015-09-01,0.183
KAMPTEE BLOCK,2015-09-01,0.206
BHIWAPUR BLOCK,2015-09-01,0.164
NARKHED BLOCK,2015-09-01,0.098
SAONER BLOCK,2015-09-01,0.194
KUHI BLOCK,2015-09-01,0.185
UMRED BLOCK,2015-09-01,0.132
KATOL BLOCK,2015-09-01,0.121
HINGNA BLOCK,2015-09-01,0.138
UMRED BLOCK,2015-10-01,0.203
BHIWAPUR BLOCK,2015-10-01,0.115
KATOL BLOCK,2015-10-01,0.154
KALMESHWAR BLOCK,2015-10-01,0.098
HINGNA BLOCK,2015-10-01,0.128
PARSHIVNI BLOCK,2015-10-01,0.115
KAMPTEE BLOCK,2015-10-01,0.19
SAONER BLOCK,2015-10-01,0.162
MOUDA BLOCK,2015-10-01,0.118
NARKHED BLOCK,2015-10-01,0.108
KUHI BLOCK,2015-10-01,0.148
RAMTEK BLOCK,2015-10-01,0.143
NAGPUR BLOCK,2015-10-01,0.304
NAGPUR BLOCK,2015-11-01,0.304
KUHI BLOCK,2015-11-01,0.142
PARSHIVNI BLOCK,2015-11-01,0.149
MOUDA BLOCK,2015-11-01,0.093
UMRED BLOCK,2015-11-01,0.147
KALMESHWAR BLOCK,2015-11-01,0.15
HINGNA BLOCK,2015-11-01,0.096
KATOL BLOCK,2015-11-01,0.142
SAONER BLOCK,2015-11-01,0.096
RAMTEK BLOCK,2015-11-01,0.101
KAMPTEE BLOCK,2015-11-01,0.162
BHIWAPUR BLOCK,2015-11-01,0.066
NARKHED BLOCK,2015-11-01,0.188
PARSHIVNI BLOCK,2015-12-01,0.107
SAONER BLOCK,2015-12-01,0.119
RAMTEK BLOCK,2015-12-01,0.118
UMRED BLOCK,2015-12-01,0.168
KUHI BLOCK,2015-12-01,0.188
BHIWAPUR BLOCK,2015-12-01,0.14
KATOL BLOCK,2015-12-01,0.059
HINGNA BLOCK,2015-12-01,0.115
NARKHED BLOCK,2015-12-01,0.067
NAGPUR BLOCK,2015-12-01,0.226
KALMESHWAR BLOCK,2015-12-01,0.136
KAMPTEE BLOCK,2015-12-01,0.208
MOUDA BLOCK,2015-12-01,0.089
SAONER BLOCK,2016-01-01,0.107
KATOL BLOCK,2016-01-01,0.043
PARSHIVNI BLOCK,2016-01-01,0.103
KALMESHWAR BLOCK,2016-01-01,0.128
UMRED BLOCK,2016-01-01,0.13
HINGNA BLOCK,2016-01-01,0.079
KUHI BLOCK,2016-01-01,0.187
KAMPTEE BLOCK,2016-01-01,0.232
BHIWAPUR BLOCK,2016-01-01,0.086
NAGPUR BLOCK,2016-01-01,0.31
NARKHED BLOCK,2016-01-01,0.156
MOUDA BLOCK,2016-01-01,0.063
RAMTEK BLOCK,2016-01-01,0.161
NARKHED BLOCK,2016-02-01,0.096
KALMESHWAR BLOCK,2016-02-01,0.113
NAGPUR BLOCK,2016-02-01,0.297
KAMPTEE BLOCK,2016-02-01,0.23
HINGNA BLOCK,2016-02-01,0.306
UMRED BLOCK,2016-02-01,0.296
KATOL BLOCK,2016-02-01,0.057
PARSHIVNI BLOCK,2016-02-01,0.107
SAONER BLOCK,2016-02-01,0.071
RAMTEK BLOCK,2016-02-01,0.161
BHIWAPUR BLOCK,2016-02-01,0.161
MOUDA BLOCK,2016-02-01,0.074
KUHI BLOCK,2016-02-01,0.145
BHIWAPUR BLOCK,2016-03-01,0.147
