block,period,childInpatientRatioList
MOUDA BLOCK,2015-04-01,0.15289256198347106
UMRED BLOCK,2015-04-01,0.18568232662192394
KUHI BLOCK,2015-04-01,0.1952662721893491
KALMESHWAR BLOCK,2015-04-01,0.1239193083573487
RAMTEK BLOCK,2015-04-01,0.2024793388429752
KAMPTEE BLOCK,2015-04-01,0.19413092550790068
HINGNA BLOCK,2015-04-01,0.10727969348659004
KATOL BLOCK,2015-04-01,0.13784461152882205
NAGPUR BLOCK,2015-04-01,0.3015
SAONER BLOCK,2015-04-01,0.13738019169329074
PARSHIVNI BLOCK,2015-04-01,0.10632183908045977
NARKHED BLOCK,2015-04-01,0.0659536541889483
BHIWAPUR BLOCK,2015-04-01,0.1953125
NAGPUR BLOCK,2015-05-01,0.2981489643014544
KATOL BLOCK,2015-05-01,0.3096085409252669
KAMPTEE BLOCK,2015-05-01,0.16058394160583941
NARKHED BLOCK,2015-05-01,0.03880597014925373
KUHI BLOCK,2015-05-01,0.2388758782201405
KALMESHWAR BLOCK,2015-05-01,0.3426724137931034
RAMTEK BLOCK,2015-05-01,0.15609137055837563
BHIWAPUR BLOCK,2015-05-01,0.10743801652892562
UMRED BLOCK,2015-05-01,0.11627906976744186
PARSHIVNI BLOCK,2015-05-01,0.0846774193548387
MOUDA BLOCK,2015-05-01,0.13333333333333333
SAONER BLOCK,2015-05-01,0.09624413145539906
HINGNA BLOCK,2015-05-01,0.15123456790123457
KAMPTEE BLOCK,2015-06-01,0.17254901960784313
MOUDA BLOCK,2015-06-01,0.09090909090909091
RAMTEK BLOCK,2015-06-01,0.1597444089456869
NAGPUR BLOCK,2015-06-01,0.30077830780818476
PARSHIVNI BLOCK,2015-06-01,0.15982721382289417
NARKHED BLOCK,2015-06-01,0.08431703204047218
KUHI BLOCK,2015-06-01,0.20579710144927535
SAONER BLOCK,2015-06-01,0.026041666666666668
KATOL BLOCK,2015-06-01,0.13695652173913042
HINGNA BLOCK,2015-06-01,0.12318840579710146
KALMESHWAR BLOCK,2015-06-01,0.12653061224489795
UMRED BLOCK,2015-06-01,0.3235474006116208
BHIWAPUR BLOCK,2015-06-01,0.07924528301886792
HINGNA BLOCK,2015-07-01,0.13875598086124402
RAMTEK BLOCK,2015-07-01,0.1324200913242009
NAGPUR BLOCK,2015-07-01,0.2987512007684918
KATOL BLOCK,2015-07-01,0.14047619047619048
KUHI BLOCK,2015-07-01,0.17352941176470588
NARKHED BLOCK,2015-07-01,0.12315270935960591
BHIWAPUR BLOCK,2015-07-01,0.09166666666666666
UMRED BLOCK,2015-07-01,0.1619047619047619
PARSHIVNI BLOCK,2015-07-01,0.15502183406113537
KAMPTEE BLOCK,2015-07-01,0.175
KALMESHWAR BLOCK,2015-07-01,0.14736842105263157
MOUDA BLOCK,2015-07-01,0.08833922261484099
SAONER BLOCK,2015-07-01,0.10561056105610561
RAMTEK BLOCK,2015-08-01,0.1926163723916533
UMRED BLOCK,2015-08-01,0.12474849094567404
PARSHIVNI BLOCK,2015-08-01,0.150093808630394
HINGNA BLOCK,2015-08-01,0.1151685393258427
BHIWAPUR BLOCK,2015-08-01,0.152
KUHI BLOCK,2015-08-01,0.25210084033613445
MOUDA BLOCK,2015-08-01,0.12297734627831715
NAGPUR BLOCK,2015-08-01,0.2989352989352989
SAONER BLOCK,2015-08-01,0.21379310344827587
KATOL BLOCK,2015-08-01,0.13968957871396895
KALMESHWAR BLOCK,2015-08-01,0.16312997347480107
KAMPTEE BLOCK,2015-08-01,0.17598343685300208
NARKHED BLOCK,2015-08-01,0.125
RAMTEK BLOCK,2015-09-01,0.20958083832335328
NAGPUR BLOCK,2015-09-01,0.3081657775954042
PARSHIVNI BLOCK,2015-09-01,0.16051364365971107
MOUDA BLOCK,2015-09-01,0.10327455919395466
KALMESHWAR BLOCK,2015-09-01,0.18270799347471453
KAMPTEE BLOCK,2015-09-01,0.20622568093385213
BHIWAPUR BLOCK,2015-09-01,0.16359918200409
NARKHED BLOCK,2015-09-01,0.09822866344605476
SAONER BLOCK,2015-09-01,0.19402985074626866
KUHI BLOCK,2015-09-01,0.1852589641434263
UMRED BLOCK,2015-09-01,0.13176895306859207
KATOL BLOCK,2015-09-01,0.12050359712230216
HINGNA BLOCK,2015-09-01,0.13793103448275862
UMRED BLOCK,2015-10-01,0.20281124497991967
