grandparent,id,parent,value
BHIWAPUR BLOCK,PHC Jawali,PHC,280
BHIWAPUR BLOCK,PHC Nand (Nagpur),PHC,357
BHIWAPUR BLOCK,PHC Somnala,PHC,478
BHIWAPUR BLOCK,RH Bhivpur ,RH,84
BHIWAPUR BLOCK,Dhamangaon1 SC,SC,18
BHIWAPUR BLOCK,SC JAWALI,SC,30
BHIWAPUR BLOCK,SC KARGAON,SC,58
BHIWAPUR BLOCK,SC MALEWADA Jawali,SC,72
BHIWAPUR BLOCK,SC MEDHA Jawali,SC,37
BHIWAPUR BLOCK,SC SHIVAPUR,SC,42
BHIWAPUR BLOCK,SC BESUR,SC,86
BHIWAPUR BLOCK,SC BHAGVANPUR,SC,25
BHIWAPUR BLOCK,SC DHAMANGAON Jawali,SC,46
BHIWAPUR BLOCK,SC MAHALGAON Nand,SC,72
BHIWAPUR BLOCK,SC MANGARUL Nand,SC,51
BHIWAPUR BLOCK,SC NAND,SC,32
BHIWAPUR BLOCK,SC ADAYL,SC,51
BHIWAPUR BLOCK,SC Bhiwapur,SC,157
BHIWAPUR BLOCK,SC DHAPRLA,SC,52
BHIWAPUR BLOCK,SC DHARMPAUR,SC,66
BHIWAPUR BLOCK,SC NAXI,SC,59
BHIWAPUR BLOCK,SC PULLAR,SC,43
BHIWAPUR BLOCK,SC SALESARI,SC,37
HINGNA BLOCK,PHC Adegaon (Nagpur),PHC,225
HINGNA BLOCK,PHC Kanholibara IPHS(24X7),PHC,411
HINGNA BLOCK,PHC Raipur IPHS(24X7,PHC,2594
HINGNA BLOCK,PHC Takalghat,PHC,948
HINGNA BLOCK,RH Hingana ,RH,71
HINGNA BLOCK,Adegaon Hingana SC,SC,65
HINGNA BLOCK,SC Degma khurd,SC,51
HINGNA BLOCK,SC Kavdas,SC,38
HINGNA BLOCK,SC Umri wagh,SC,46
HINGNA BLOCK,SC Amgaon Kanholibara,SC,84
HINGNA BLOCK,SC Devali Pendhari,SC,52
HINGNA BLOCK,SC Kanholibara,SC,87
HINGNA BLOCK,SC Khapri Gandhi,SC,75
HINGNA BLOCK,SC Salaidabha,SC,113
HINGNA BLOCK,SC Digdoh,SC,673
HINGNA BLOCK,SC Khairi pannase,SC,803
HINGNA BLOCK,SC Mohgaon,SC,85
HINGNA BLOCK,SC Mondha,SC,90
HINGNA BLOCK,SC Nildoh,SC,717
HINGNA BLOCK,Raipur Hingana SC,SC,226
HINGNA BLOCK,SC Asola Takalghat,SC,61
HINGNA BLOCK,SC Gumgaon,SC,120
HINGNA BLOCK,SC Kotewada,SC,105
HINGNA BLOCK,SC Sirul,SC,83
HINGNA BLOCK,SC Takalgaht,SC,173
KALMESHWAR BLOCK, PHC Gondkhairi,PHC,956
KALMESHWAR BLOCK,PHC Dhapewada,PHC,209
KALMESHWAR BLOCK,PHC Mohapa,PHC,363
KALMESHWAR BLOCK,PHC Tishti,PHC,191
KALMESHWAR BLOCK,RH Kamleshwar ,RH,244
KALMESHWAR BLOCK,SC Adasa,SC,42
KALMESHWAR BLOCK,SC Borgaon Dhapewada,SC,34
KALMESHWAR BLOCK,SC Dhapewada Khurd,SC,31
KALMESHWAR BLOCK,SC Sawali Dhapewada,SC,32
KALMESHWAR BLOCK,SC Fetari,SC,94
KALMESHWAR BLOCK,SC Gondkhairi,SC,91
KALMESHWAR BLOCK,SC Kalmbi,SC,98
KALMESHWAR BLOCK,SC Liinga,SC,49
KALMESHWAR BLOCK,SC Mahurzari,SC,132
KALMESHWAR BLOCK,SC Sonegaon Gondkhairi,SC,119
KALMESHWAR BLOCK,SC Ubali,SC,67
KALMESHWAR BLOCK,Uparwahi Kalmeshwar SC,SC,62
KALMESHWAR BLOCK,SC Waroda,SC,167
KALMESHWAR BLOCK,SC Kohali,SC,46
KALMESHWAR BLOCK,SC Madivi,SC,40
KALMESHWAR BLOCK,SC Mohpa,SC,33
KALMESHWAR BLOCK,SC Pardi Mohapa,SC,42
KALMESHWAR BLOCK,SC Parsodi Mohapa,SC,54
KALMESHWAR BLOCK,SC Pipla,SC,41
KALMESHWAR BLOCK,SC Susundri,SC,56
KALMESHWAR BLOCK,SC Telgaon,SC,106
KALMESHWAR BLOCK,SC Telkamtee,SC,61
KAMPTEE BLOCK,PHC Gumthala(24X7),PHC,1161
KAMPTEE BLOCK,PHC Gumthi,PHC,1422
KAMPTEE BLOCK, SDH (50) Kamptee  ,RH-SDH,903
KAMPTEE BLOCK,SC Godhani Railway,SC,173
KAMPTEE BLOCK,SC Gumthala 1,SC,140
KAMPTEE BLOCK,SC Khairy,SC,186
KAMPTEE BLOCK,SC Khasala,SC,120
KAMPTEE BLOCK,SC Koradi New,SC,212
KAMPTEE BLOCK,SC Koradi Old,SC,105
KAMPTEE BLOCK,SC Lonkhairi,SC,82
KAMPTEE BLOCK,SC Mahadula Gumthi,SC,151
KAMPTEE BLOCK,SC Yerkheda,SC,243
KAMPTEE BLOCK,SC Ajani Gumthala,SC,72
KAMPTEE BLOCK,SC Avandhi Gunthala,SC,78
KAMPTEE BLOCK,SC Bhugaon,SC,95
KAMPTEE BLOCK,SC Dighori,SC,46
KAMPTEE BLOCK,SC Gumthala,SC,60
KAMPTEE BLOCK,SC Mahalgaon Gumthala,SC,169
KAMPTEE BLOCK,SC Palsad,SC,71
KAMPTEE BLOCK,SC Shirpur Gumthala,SC,122
KAMPTEE BLOCK,SC Sonegaon Gumthala,SC,71
KAMPTEE BLOCK,SC Tarodi,SC,155
KAMPTEE BLOCK,SC Temasna,SC,41
KAMPTEE BLOCK,SC Wadoda,SC,115
KATOL BLOCK,PHC Kachrisawanga(24X7),PHC,565
KATOL BLOCK,PHC Kondhali IPHS(24X7),PHC,657
KATOL BLOCK,PHC Yenava,PHC,551
KATOL BLOCK,RH Katol ,RH,368
KATOL BLOCK,SC Bhorgad,SC,33
KATOL BLOCK,SC Dhawlapur,SC,67
KATOL BLOCK,SC Dorli  Bhi.,SC,61
KATOL BLOCK,SC Gharatwada,SC,45
KATOL BLOCK,SC kacharisawanga,SC,79
KATOL BLOCK,SC Kondhasawli,SC,57
KATOL BLOCK,SC Ladgao,SC,62
KATOL BLOCK,SC Mendhepathar,SC,51
KATOL BLOCK,Ridhora Kachrisawanga SC,SC,69
KATOL BLOCK,SC Rualgao,SC,41
KATOL BLOCK,SC Dudhala Kondhali,SC,108
KATOL BLOCK,SC Garamsur Kondhali,SC,40
KATOL BLOCK,SC Khursapar Kondhali,SC,61
KATOL BLOCK,SC kondhali,SC,157
KATOL BLOCK,SC Masala,SC,31
KATOL BLOCK,SC Masod Kondhali,SC,70
KATOL BLOCK,SC Murti,SC,39
KATOL BLOCK,SC Panjara,SC,68
KATOL BLOCK,SC Pusagondi,SC,62
KATOL BLOCK,SC Bordoha,SC,52
KATOL BLOCK,SC Digrus  bu.,SC,43
KATOL BLOCK,SC Dorli  Bha.,SC,26
KATOL BLOCK,SC Isapur  khurd,SC,49
KATOL BLOCK,SC Khangao,SC,75
KATOL BLOCK,SC Mendki,SC,56
KATOL BLOCK,SC paradsinga,SC,68
KATOL BLOCK,SC Wandli,SC,44
KATOL BLOCK,SC Yenwa,SC,18
KATOL BLOCK,SC yerla dhote,SC,43
KATOL BLOCK,SC Zilpa,SC,48
KUHI BLOCK,PHC Mandhal,PHC,532
KUHI BLOCK,PHC Salwa,PHC,305
